Name,Location,Year,Kilometers_Driven,Fuel_type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,Seller Comments
2018 Honda Brio VX AT,"Prahlad Nagar, Ahmedabad",Jan 2018,"54,700 km",Petrol,Automatic,First,16.5 kmpl,"1198 cc, 4 Cylinders Inline, 4 Valves/Cylinder, SOHC",87 bhp @ 6000 rpm,5 Person,₹ 5.5 Lakh, 
2017 Honda Brio VX AT,"Andheri (E), Mumbai",Feb 2017,"5,000 km",Petrol,Automatic,First,16.5 kmpl,"1198 cc, 4 Cylinders Inline, 4 Valves/Cylinder, SOHC",87 bhp @ 6000 rpm,5 Person,₹ 5.6 Lakh,1) Car is excellent condition 2) 100% Non accidental Car 3) Genuine KMS Running 4) All cars are certified 5) Full Service Record Available 6) 6 month Engine & Gear Box Warranty 
2017 Honda Brio VX AT,"Prahlad Nagar, Ahmedabad",Jan 2017,"54,400 km",Petrol,Automatic,First,16.5 kmpl,"1198 cc, 4 Cylinders Inline, 4 Valves/Cylinder, SOHC",87 bhp @ 6000 rpm,5 Person,₹ 5.35 Lakh, 
2015 Honda Brio VX AT,"Ashram Road, Ahmedabad",Jun 2015,"69,073 km",Petrol,Automatic,First,16.5 kmpl,"1198 cc, 4 Cylinders Inline, 4 Valves/Cylinder, SOHC",87 bhp @ 6000 rpm,5 Person,₹ 4.5 Lakh,Brio Automatic 
2015 Honda Brio VX AT,"Shyam Nagar, Jaipur",Jun 2015,"34,892 km",Petrol,Automatic,First,16.5 kmpl,"1198 cc, 4 Cylinders Inline, 4 Valves/Cylinder, SOHC",87 bhp @ 6000 rpm,5 Person,₹ 4.5 Lakh, 
2015 Honda Brio S MT,"Shipra Sun City, Ghaziabad",Jun 2015,"53,322 km",Petrol,Manual,First,19.4 kmpl,"1198 cc, 4 Cylinders Inline, 4 Valves/Cylinder, SOHC",87 bhp @ 6000 rpm,5 Person,₹ 3.98 Lakh,5 Day moneyback 1 year warranty Free third party insurance and RC transfer 
2015 Honda Brio S MT,"Inderpura, Surat",Jun 2015,"49,704 km",Petrol,Manual,First,19.4 kmpl,"1198 cc, 4 Cylinders Inline, 4 Valves/Cylinder, SOHC",87 bhp @ 6000 rpm,5 Person,₹ 4.5 Lakh, 
2014 Honda Brio EX MT,"Azad Nagar, Mumbai",Jan 2014,"26,004 km",Petrol,Manual,First,19.4 kmpl,"1198 cc, 4 Cylinders Inline, 4 Valves/Cylinder, SOHC",87 bhp @ 6000 rpm,,₹ 3.55 Lakh,"Honda certified car with OEM Warranty Leather interior Company fitted music system Power windows Dents on the roof, Scratches on the front bumper, Scratches on the front right door, Dents on the right running board, Scratches on the right running board, Scratches on the rear right door, Dents on the right quarter panel, Scratches on the rear bumper, Scratches on the rear left door, Scratches on the front left door, Scratches on the left fender, "
2014 Honda Brio VX AT,"Lajpat Nagar, Delhi",Jun 2014,"50,000 km",Petrol,Automatic,First,16.5 kmpl,"1198 cc, 4 Cylinders Inline, 4 Valves/Cylinder, SOHC",87 bhp @ 6000 rpm,5 Person,₹ 3.95 Lakh,"Certified Car, Less Driven, Non Accidental, Original Paint, Single Owner, Finance Available, Roadside Assistance Available, Service History Available, Test Drive Available & Warranty Available "
2013 Honda Brio S MT,"Dada Ghosh Bhawan, Delhi",Jun 2013,"69,000 km",Petrol,Manual,First,,,,,₹ 2.5 Lakh,"Very Good Condition, Non Accidental, Original Paint, Single Owner, Finance Available, Service History Available & Test Drive Available, pre-owned, temper free, price negotiable,all original, "
2015 Honda Brio VX AT,"Athwa, Surat",Jun 2015,"98,000 km",Petrol,Automatic,First,16.5 kmpl,"1198 cc, 4 Cylinders Inline, 4 Valves/Cylinder, SOHC",87 bhp @ 6000 rpm,5 Person,₹ 4.8 Lakh,"Excellent Condition, Single Owner, Alloy Wheels, Finance Available & Test Drive Available "
2013 Honda Brio S MT,"Azad Nagar, Mumbai",Sep 2013,"33,700 km",Petrol,Manual,First,,,,,₹ 3 Lakh, 
2013 Honda Brio VX MT,"Sector 10, Noida",Jun 2013,"89,000 km",Petrol,Manual,Second,19.4 kmpl,"1198 cc, 4 Cylinders Inline, 4 Valves/Cylinder, SOHC",87 bhp @ 6000 rpm,5 Person,₹ 2.75 Lakh,"Very Good Condition, Non Accidental, Original Paint, Finance Available, Alloy Wheels, Service History Available & Test Drive Available, temper free, well maintained price negotiable "
2012 Honda Brio S MT,"Chunni Ganj, Kanpur",Jun 2012,"68,000 km",Petrol,Manual,Second,,,,,₹ 2.15 Lakh,"Less Driven, Non Accidental, Original Paint, Finance Available & Test Drive Available "
2014 Honda Brio VX AT,"Mulund (W), Mumbai",Jun 2014,"51,000 km",Petrol,Automatic,First,16.5 kmpl,"1198 cc, 4 Cylinders Inline, 4 Valves/Cylinder, SOHC",87 bhp @ 6000 rpm,5 Person,₹ 4.5 Lakh,"Excellent Condition, Less Driven, Non Accidental, Original Paint, Finance Available, Roadside Assistance Available, Service History Available & Test Drive Available "
2013 Honda Brio S MT,"Shipra Sun City, Ghaziabad",Jun 2013,"56,000 km",Petrol,Manual,First,,,,,₹ 3.5 Lakh,EXCELLENT CAR 
